Sport,Season,Type,Location,Opponent,Conference,Day,Month,Outcome,ScoreFor,ScoreAgainst,Length,StreakBeforeMatch,Attend
WSOC,2022,RS,A,SaintLouis,A10,Thu,9,L,2,3,FT,W1,N
WSOC,2022,RS,A,GeorgeWashington,A10,Sun,9,W,3,0,FT,L1,N
WSOC,2022,RS,H,Davidson,A10,Thu,9,L,0,1,FT,W1,Y
WSOC,2022,RS,H,Dayton,A10,Sun,10,L,0,1,FT,L1,Y
WSOC,2022,RS,A,SaintJosephs,A10,Sat,10,L,0,1,FT,L2,N
WSOC,2022,RS,A,VCU,A10,Thu,10,L,0,1,FT,L3,N
WSOC,2022,RS,H,Duquesne,A10,Sun,10,D,0,0,FT,L4,Y
WSOC,2022,RS,H,UMass,A10,Thu,10,W,2,1,FT,D1,Y
WSOC,2022,RS,A,Richmond,A10,Sun,10,W,1,0,FT,W1,N
WSOC,2022,CT,N,SaintLouis,A10,Sat,10,L,0,3,FT,W2,N
WVB,2016,RS,N,DePaul,BE,Fri,8,L,1,3,4,L2,N
WVB,2016,RS,N,Iowa,B1G,Sat,8,L,1,3,4,L3,N
WVB,2016,RS,A,NorthernIllinois,MAC,Sat,8,L,1,3,4,L4,N
WVB,2016,RS,N,CollegeofCharleston,CAA,Fri,9,W,3,1,4,L5,N
WVB,2016,RS,N,Davidson,A10,Sat,9,W,3,2,5,W1,N
WVB,2016,RS,A,WakeForest,ACC,Sat,9,W,3,2,5,W2,N
WVB,2016,RS,N,MiamiFL,ACC,Fri,9,L,2,3,5,W3,N
WVB,2016,RS,N,MississippiState,SEC,Fri,9,W,3,2,5,L1,N
WVB,2016,RS,A,KansasState,B12,Sat,9,L,0,3,3,W1,N
WVB,2016,RS,H,UIC,HL,Tue,9,L,1,3,4,L1,N
WVB,2016,RS,A,Butler,BE,Fri,9,L,1,3,4,L2,N
WVB,2016,RS,N,Arizona,P12,Sat,9,L,1,3,4,L3,N
WVB,2016,RS,N,NorthernKentucky,HL,Sat,9,W,3,2,5,L4,N
WVB,2016,RS,A,IllinoisState,MVC,Fri,9,L,1,3,4,W1,N
WVB,2016,RS,A,IndianaState,MVC,Sat,9,W,3,2,5,L1,N
WVB,2016,RS,H,Evansville,MVC,Fri,9,W,3,0,3,W1,N
WVB,2016,RS,H,SouthernIllinois,MVC,Sat,10,W,3,1,4,W2,N
WVB,2016,RS,A,WichitaState,MVC,Fri,10,L,0,3,3,W3,N
WVB,2016,RS,A,MissouriState,MVC,Sat,10,L,0,3,3,L1,N
WVB,2016,RS,H,Drake,MVC,Fri,10,W,3,0,3,L2,N
WVB,2016,RS,H,NorthernIowa,MVC,Sat,10,L,2,3,5,W1,N
WVB,2016,RS,H,Bradley,MVC,Tue,10,W,3,1,4,L1,N
WVB,2016,RS,H,IndianaState,MVC,Fri,10,L,1,3,4,W1,N
WVB,2016,RS,H,IllinoisState,MVC,Sat,10,L,0,3,3,L1,N
WVB,2016,RS,A,SouthernIllinois,MVC,Fri,10,W,3,1,4,L2,N
WVB,2016,RS,A,Evansville,MVC,Sat,10,W,3,2,5,W1,N
WVB,2016,RS,H,WichitaState,MVC,Sat,11,L,0,3,3,W2,N
WVB,2016,RS,H,MissouriState,MVC,Sun,11,L,0,3,3,L1,N
WVB,2016,RS,A,NorthernIowa,MVC,Fri,11,L,0,3,3,L2,N
WVB,2016,RS,A,Drake,MVC,Sat,11,W,3,1,4,L3,N
WVB,2016,RS,A,Bradley,MVC,Sat,11,W,3,0,3,W1,N
WVB,2016,CT,A,NorthernIowa,MVC,Thu,11,L,0,3,3,W2,N
WVB,2017,RS,N,Seattle,WAC,Fri,8,L,1,3,4,L1,N
WVB,2017,RS,A,California,P12,Sat,8,L,1,3,4,L2,N
WVB,2017,RS,N,UCIrvine,BigWest,Sat,8,L,0,3,3,L3,N
WVB,2017,RS,H,Fairfield,MAAC,Fri,9,L,1,3,4,L4,N
WVB,2017,RS,H,Milwaukee,HL,Sat,9,L,0,3,3,L5,N
WVB,2017,RS,H,Samford,SoCon,Sun,9,W,3,1,4,L6,N
WVB,2017,RS,A,Marquette,BE,Fri,9,L,0,3,3,W1,N
WVB,2017,RS,N,Kentucky,SEC,Sat,9,L,0,3,3,L1,N
WVB,2017,RS,H,DePaul,BE,Tue,9,L,0,3,3,L2,N
WVB,2017,RS,N,MiamiOH,MAC,Sat,9,L,0,3,3,L3,N
WVB,2017,RS,A,Purdue,B1G,Sun,9,L,0,3,3,L4,N
WVB,2017,RS,H,Drake,MVC,Fri,9,L,1,3,4,L5,Y
WVB,2017,RS,H,NorthernIowa,MVC,Sat,9,L,0,3,3,L6,N
WVB,2017,RS,A,MissouriState,MVC,Mon,9,L,0,3,3,L7,N
WVB,2017,RS,H,Valparaiso,MVC,Sun,10,L,1,3,4,L8,N
WVB,2017,RS,A,IllinoisState,MVC,Fri,10,L,0,3,3,L9,N
WVB,2017,RS,A,Bradley,MVC,Sat,10,L,2,3,5,L10,N
WVB,2017,RS,H,Evansville,MVC,Fri,10,L,2,3,5,L11,Y
WVB,2017,RS,H,IndianaState,MVC,Sat,10,L,2,3,5,L12,Y
WVB,2017,RS,A,NorthernIowa,MVC,Fri,10,L,0,3,3,L13,N
WVB,2017,RS,A,Drake,MVC,Sat,10,L,0,3,3,L14,N
WVB,2017,RS,A,Valparaiso,MVC,Fri,10,L,0,3,3,L15,N
WVB,2017,RS,A,SouthernIllinois,MVC,Mon,10,W,3,1,4,L16,N
WVB,2017,RS,H,Bradley,MVC,Fri,11,W,3,2,5,W1,N
WVB,2017,RS,H,IllinoisState,MVC,Sat,11,L,0,3,3,W2,N
WVB,2017,RS,A,IndianaState,MVC,Fri,11,L,1,3,4,L1,N
WVB,2017,RS,A,Evansville,MVC,Sat,11,W,3,0,3,L2,N
WVB,2017,RS,H,SouthernIllinois,MVC,Fri,11,W,3,0,3,W1,Y
WVB,2017,RS,H,MissouriState,MVC,Fri,11,L,1,3,4,W2,N
WVB,2018,RS,N,KennesawState,ASUN,Fri,8,L,0,3,3,L1,N
WVB,2018,RS,A,Samford,SoCon,Fri,8,L,1,3,4,L2,N
WVB,2018,RS,N,McNesseState,Southland,Sat,8,W,3,1,4,L3,N
WVB,2018,RS,H,Furman,SoCon,Fri,8,W,3,0,3,W1,N
WVB,2018,RS,H,GeorgiaState,SunBelt,Fri,8,W,3,0,3,W2,N
WVB,2018,RS,H,Marshall,CUSA,Sat,9,W,3,0,3,W3,Y
WVB,2018,RS,N,UtahState,MWC,Fri,9,W,3,2,5,W4,N
WVB,2018,RS,A,WesternMichigan,MAC,Fri,9,W,3,0,3,W5,N
WVB,2018,RS,N,Canisius,MAAC,Sat,9,W,3,1,4,W6,N
WVB,2018,RS,H,DePaul,BE,Fri,9,W,3,0,3,W7,Y
